Demographics,nan,nan,Male,Female,,North East,North West,Yorkshire & The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Northern Ireland,,18-24,25-34,35-44,45-54,55-64,,Vegetarian,Vegan,Pescatarian,Halal,Kosher,None of the above,,Always,Often,Sometimes,Rarely,Never,,Very important,Fairly important,Neither,Fairly unimportant,Very unimportant,,Environmentally Friendly,Good for the planet,Less waste,Local,Ethical,Don't Know,Longer lasting,No natural resource depletion,Recyclable,Locally Sourced,Zero Carbon,Reuse or Repurpose,No Group,,The UK government,Global corporations e.g the companies that own large well-known brands,"Global agencies e.g WWF, Greenpeace, friends of the earth etc",All adults who live in the UK,All of the above,,Very Much,Somewhat,Undecided,Not Really,Not at all,,Deforestation-free supply chain (minimising the consumption of products associated with deforestation and forest degradation),Donating a proportion of profits to environmental organisations,Implementing reduced waste goals,Partnering with local producers of materials,Planting trees to help protect the environment,Reducing greenhouse gas emissions,Reducing production of plastic packaging,Sourcing renewable / ‘green’ energy for production,Using biofuels,Using certified ‘sustainable’ materials in production (eg Forest Stewardship Council-certified (FSC),None of the above,,Deforestation-free supply chain (minimising the consumption of products associated with deforestation and forest degradation),Donating a proportion of profits to environmental organisations,Implementing reduced waste goals,Partnering with local producers of materials,Planting trees to help protect the environment,Reducing greenhouse gas emissions,Reducing production of plastic packaging,Sourcing renewable / ‘green’ energy for production,Using biofuels,Using certified ‘sustainable’ materials in production (eg Forest Stewardship Council-certified (FSC),None of the above,,Very influenced,Fairly influenced,Neither,Not very influenced,Not at all influenced,,Yes,No,Don't know,,"Food & Beverage (food items, alcohol, carbonated drinks etc)","Health, Beauty & Cosmetics (haircare, skincare, make up, fragrances, toiletries etc.)","Household Goods (cleaning items, food wrapping, toilet paper etc.)","Fashion & Clothing (sports, casual, speciality, everyday etc)","Computers & Consumer Electronics (home appliances, entertainment, gaming etc)",Other,,Use of Chemicals,Use of Palm Oil,Animal Testing,Ethical Concerns,Plastic Packaging,Renewable Resources,Environmental Impact,Sustainability,Unethical Practices,Supporting Genocide,Quality,Price,No Group,,Strongly Agree,Slightly Agree,Neither,Slightly Disagree,Strongly Disagree,,Amazon,Smol,Coca Cola,Patagonia,The Body Shop,Apple,Lush,Lidl,Ecover,Oceansaver,Tesco,No / Don't Know,Tesla,Nike,No Group,
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1009,,477,532, ,45,114,87,78,97,92,119,136,93,41,76,31, ,134,211,278,217,169, ,90,44,61,87,11,715, ,168,366,379,65,30, ,259,456,205,56,31, ,371,395,50,28,68,69,127,119,100,23,37,85,161, ,429,174,30,154,221, ,105,468,251,127,57, ,423,311,426,282,431,352,434,306,179,272,79, ,219,172,177,63,77,66,84,18,7,43,82, ,159,449,248,91,61, ,330,559,119, ,84,76,59,72,39,0, ,15,10,40,46,35,13,74,38,44,11,22,25,66, ,127,266,254,189,172, ,23,15,4,22,30,52,18,45,21,3,15,714,12,23,112, 
,100%,,47%,53%, ,4%,11%,9%,8%,10%,9%,12%,13%,9%,4%,8%,3%, ,13%,21%,28%,22%,17%, ,9%,4%,6%,9%,1%,71%, ,17%,36%,38%,6%,3%, ,26%,45%,20%,6%,3%, ,23%,24%,3%,2%,4%,4%,8%,7%,6%,1%,2%,5%,10%, ,43%,17%,3%,15%,22%, ,10%,46%,25%,13%,6%, ,42%,31%,42%,28%,43%,35%,43%,30%,18%,27%,8%, ,22%,17%,18%,6%,8%,7%,8%,2%,1%,4%,8%, ,16%,45%,25%,9%,6%, ,33%,55%,12%, ,25%,23%,18%,22%,12%,0%, ,3%,2%,9%,10%,8%,3%,17%,9%,10%,3%,5%,6%,15%, ,13%,26%,25%,19%,17%, ,2%,1%,0%,2%,3%,5%,2%,4%,2%,0%,1%,64%,1%,2%,10%, 
Male,477,,477,, ,22,54,42,37,47,43,60,67,42,20,33,10, ,59,97,132,104,85, ,41,18,29,47,6,335, ,90,161,179,34,13, ,128,211,92,28,17, ,165,177,20,15,31,30,61,65,34,13,21,34,92, ,232,81,13,74,77, ,57,216,100,64,40, ,199,140,185,126,192,164,177,146,92,128,41, ,125,92,74,24,31,29,34,6,2,21,38, ,77,204,106,54,35, ,162,272,43, ,41,31,30,32,27,0, ,9,3,11,12,13,5,33,20,14,5,14,18,43, ,70,135,118,75,78, ,13,5,2,13,12,25,7,28,10,1,8,321,12,13,57, 
,47%,,100%,, ,49%,47%,48%,47%,48%,47%,50%,49%,45%,49%,43%,32%, ,44%,46%,47%,48%,50%, ,46%,41%,48%,54%,55%,47%, ,54%,44%,47%,52%,43%, ,49%,46%,45%,50%,55%, ,44%,45%,40%,54%,46%,43%,48%,55%,34%,57%,57%,40%,57%, ,54%,47%,43%,48%,35%, ,54%,46%,40%,50%,70%, ,47%,45%,43%,45%,45%,47%,41%,48%,51%,47%,52%, ,57%,53%,42%,38%,40%,44%,40%,33%,29%,49%,46%, ,48%,45%,43%,59%,57%, ,49%,49%,36%, ,49%,41%,51%,44%,69%,0%, ,60%,30%,28%,26%,37%,38%,45%,53%,32%,45%,64%,72%,65%, ,55%,51%,46%,40%,45%, ,57%,33%,50%,59%,40%,48%,39%,62%,48%,33%,53%,45%,100%,57%,51%, 
Female,532,,,532, ,23,60,45,41,50,49,59,69,51,21,43,21, ,75,114,146,113,84, ,49,26,32,40,5,380, ,78,205,200,31,17, ,131,245,113,28,14, ,206,218,30,13,37,39,66,54,66,10,16,51,69, ,197,93,17,80,144, ,48,252,151,63,17, ,224,171,241,156,239,188,257,160,87,144,38, ,94,80,103,39,46,37,50,12,5,22,44, ,82,245,142,37,26, ,168,287,76, ,43,45,29,40,12,0, ,6,7,29,34,22,8,41,18,30,6,8,7,23, ,57,131,136,114,94, ,10,10,2,9,18,27,11,17,11,2,7,393,0,10,55, 
,53%,,,100%, ,51%,53%,52%,53%,52%,53%,50%,51%,55%,51%,57%,68%, ,56%,54%,53%,52%,50%, ,54%,59%,52%,46%,45%,53%, ,46%,56%,53%,48%,57%, ,51%,54%,55%,50%,45%, ,56%,55%,60%,46%,54%,57%,52%,45%,66%,43%,43%,60%,43%, ,46%,53%,57%,52%,65%, ,46%,54%,60%,50%,30%, ,53%,55%,57%,55%,55%,53%,59%,52%,49%,53%,48%, ,43%,47%,58%,62%,60%,56%,60%,67%,71%,51%,54%, ,52%,55%,57%,41%,43%, ,51%,51%,64%, ,51%,59%,49%,56%,31%,0%, ,40%,70%,73%,74%,63%,62%,55%,47%,68%,55%,36%,28%,35%, ,45%,49%,54%,60%,55%, ,43%,67%,50%,41%,60%,52%,61%,38%,52%,67%,47%,55%,0%,43%,49%, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1009,,477,532, ,45,114,87,78,97,92,119,136,93,41,76,31, ,134,211,278,217,169, ,90,44,61,87,11,715, ,168,366,379,65,30, ,259,456,205,56,31, ,371,395,50,28,68,69,127,119,100,23,37,85,161, ,429,174,30,154,221, ,105,468,251,127,57, ,423,311,426,282,431,352,434,306,179,272,79, ,219,172,177,63,77,66,84,18,7,43,82, ,159,449,248,91,61, ,330,559,119, ,84,76,59,72,39,0, ,15,10,40,46,35,13,74,38,44,11,22,25,66, ,127,266,254,189,172, ,23,15,4,22,30,52,18,45,21,3,15,714,12,23,112, 
,100%,,47%,53%, ,4%,11%,9%,8%,10%,9%,12%,13%,9%,4%,8%,3%, ,13%,21%,28%,22%,17%, ,9%,4%,6%,9%,1%,71%, ,17%,36%,38%,6%,3%, ,26%,45%,20%,6%,3%, ,23%,24%,3%,2%,4%,4%,8%,7%,6%,1%,2%,5%,10%, ,43%,17%,3%,15%,22%, ,10%,46%,25%,13%,6%, ,42%,31%,42%,28%,43%,35%,43%,30%,18%,27%,8%, ,22%,17%,18%,6%,8%,7%,8%,2%,1%,4%,8%, ,16%,45%,25%,9%,6%, ,33%,55%,12%, ,25%,23%,18%,22%,12%,0%, ,3%,2%,9%,10%,8%,3%,17%,9%,10%,3%,5%,6%,15%, ,13%,26%,25%,19%,17%, ,2%,1%,0%,2%,3%,5%,2%,4%,2%,0%,1%,64%,1%,2%,10%, 
North East,45,,22,23, ,45,,,,,,,,,,,, ,7,9,12,8,9, ,6,1,5,0,0,33, ,8,12,23,2,0, ,9,16,17,2,1, ,21,18,1,0,2,4,5,0,4,0,1,2,9, ,18,5,4,6,11, ,6,20,10,5,4, ,18,14,16,12,18,17,17,14,10,7,3, ,13,4,6,4,5,7,1,0,0,2,3, ,6,19,13,6,1, ,10,30,5, ,2,2,3,3,0,0, ,1,0,1,3,1,0,0,0,4,0,0,1,1, ,7,9,15,4,10, ,2,1,0,1,0,3,1,0,1,1,0,34,0,0,4, 
,4%,,5%,4%, ,100%,,,,,,,,,,,, ,5%,4%,4%,4%,5%, ,7%,2%,8%,0%,0%,5%, ,5%,3%,6%,3%,0%, ,3%,4%,8%,4%,3%, ,6%,5%,2%,0%,3%,6%,4%,0%,4%,0%,3%,2%,6%, ,4%,3%,13%,4%,5%, ,6%,4%,4%,4%,7%, ,4%,5%,4%,4%,4%,5%,4%,5%,6%,3%,4%, ,6%,2%,3%,6%,6%,11%,1%,0%,0%,5%,4%, ,4%,4%,5%,7%,2%, ,3%,5%,4%, ,2%,3%,5%,4%,0%,0%, ,7%,0%,3%,7%,3%,0%,0%,0%,9%,0%,0%,4%,2%, ,6%,3%,6%,2%,6%, ,9%,7%,0%,5%,0%,6%,6%,0%,5%,33%,0%,5%,0%,0%,4%, 
North West,114,,54,60, ,,114,,,,,,,,,,, ,15,23,30,26,20, ,8,4,8,11,0,83, ,23,41,42,6,2, ,29,52,22,10,1, ,42,42,6,3,6,8,15,12,8,2,3,10,22, ,41,20,6,18,29, ,11,52,34,14,3, ,51,29,53,27,55,38,47,32,19,37,6, ,23,21,15,16,15,7,4,1,0,5,7, ,17,50,29,14,4, ,44,48,22, ,15,9,7,8,5,0, ,1,1,5,4,3,4,16,8,2,0,1,4,13, ,15,30,30,24,15, ,1,0,1,1,2,6,2,7,1,1,0,80,2,4,14, 
,11%,,11%,11%, ,,100%,,,,,,,,,,, ,11%,11%,11%,12%,12%, ,9%,9%,13%,13%,0%,12%, ,14%,11%,11%,9%,7%, ,11%,11%,11%,18%,3%, ,11%,11%,12%,11%,9%,12%,12%,10%,8%,9%,8%,12%,14%, ,10%,11%,20%,12%,13%, ,10%,11%,14%,11%,5%, ,12%,9%,12%,10%,13%,11%,11%,10%,11%,14%,8%, ,11%,12%,8%,25%,19%,11%,5%,6%,0%,12%,9%, ,11%,11%,12%,15%,7%, ,13%,9%,18%, ,18%,12%,12%,11%,13%,0%, ,7%,10%,13%,9%,9%,31%,22%,21%,5%,0%,5%,16%,20%, ,12%,11%,12%,13%,9%, ,4%,0%,25%,5%,7%,12%,11%,16%,5%,33%,0%,11%,17%,17%,13%, 
Yorkshire & The Humber,87,,42,45, ,,,87,,,,,,,,,, ,12,16,24,20,15, ,4,3,3,10,2,65, ,16,34,22,9,6, ,25,39,13,5,5, ,29,35,3,3,7,5,10,17,8,2,3,5,15, ,36,19,2,10,20, ,9,41,16,11,10, ,30,26,32,21,37,27,42,32,10,22,12, ,18,13,15,6,1,7,5,0,0,9,13, ,9,38,19,12,9, ,27,50,10, ,5,8,5,6,2,0, ,0,1,4,5,1,1,8,2,5,1,1,1,6, ,13,25,22,12,15, ,3,1,0,5,3,5,2,4,1,0,0,58,0,1,12, 
,9%,,9%,8%, ,,,100%,,,,,,,,,, ,9%,8%,9%,9%,9%, ,4%,7%,5%,11%,18%,9%, ,10%,9%,6%,14%,20%, ,10%,9%,6%,9%,16%, ,8%,9%,6%,11%,10%,7%,8%,14%,8%,9%,8%,6%,9%, ,8%,11%,7%,6%,9%, ,9%,9%,6%,9%,18%, ,7%,8%,8%,7%,9%,8%,10%,10%,6%,8%,15%, ,8%,8%,8%,10%,1%,11%,6%,0%,0%,21%,16%, ,6%,8%,8%,13%,15%, ,8%,9%,8%, ,6%,11%,8%,8%,5%,0%, ,0%,10%,10%,11%,3%,8%,11%,5%,11%,9%,5%,4%,9%, ,10%,9%,9%,6%,9%, ,13%,7%,0%,23%,10%,10%,11%,9%,5%,0%,0%,8%,0%,4%,11%, 
